date,rm,rf
2014-12-17,0.0016652163837826972,9.189478417770403e-06
2014-12-18,-0.007256564926245601,9.9875706698338e-06
2014-12-19,-0.0002378239128909554,1.038655732887861e-05
2014-12-22,-0.0163509684769223,1.1184411752962475e-05
2014-12-23,0.0045356890106136305,1.038655732887861e-05
2014-12-24,-0.016213587336401436,1.038655732887861e-05
2014-12-26,-0.006342586526233762,1.038655732887861e-05
2014-12-29,-0.008489023063361079,9.9875706698338e-06
2014-12-30,0.020352416032282106,9.189478417770403e-06
2014-12-31,0.0240152043279922,9.9875706698338e-06
2015-01-02,0.00457004899569724,9.947779353591812e-06
2015-01-05,0.0038104640443461513,1.0345176408410595e-05
2015-01-06,0.0017463618366218014,9.947779353591812e-06
2015-01-07,-0.00013929650838573338,9.947779353591812e-06
2015-01-08,0.0033095747051801183,9.152866782491387e-06
2015-01-09,0.0008617741459158168,8.755351250222532e-06
2015-01-12,-0.004888604384246875,7.562567572394485e-06
2015-01-13,-0.010310858744699503,7.960201652945642e-06
2015-01-14,-0.00033996358896326573,7.1648939601320905e-06
2015-01-15,-0.01827810508970329,6.36942810827712e-06
2015-01-16,-0.008893471870112801,6.7671808079428075e-06
2015-01-20,0.011629842642575161,6.7671808079428075e-06
2015-01-21,0.01788828104579765,6.7671808079428075e-06
2015-01-22,-0.008403811040573306,6.7671808079428075e-06
2015-01-23,-0.00809368524335874,6.7671808079428075e-06
2015-01-26,-0.0025785554979216307,7.1648939601320905e-06
2015-01-27,-0.005813066949783785,6.7671808079428075e-06
2015-01-28,-0.009247876125553667,6.7671808079428075e-06
2015-01-29,0.01342419939545203,6.7671808079428075e-06
2015-01-30,0.0015499524278266286,7.1648939601320905e-06
2015-02-02,0.004731623825443343,6.7671808079428075e-06
2015-02-03,0.015269721805970526,8.357796209557122e-06
2015-02-04,-0.005491522447795494,7.960201652945642e-06
2015-02-05,0.0025684610859357804,7.960201652945642e-06
2015-02-06,-0.01338786237931644,1.0345176408410595e-05
2015-02-09,-0.013495609538427322,9.550342814357293e-06
2015-02-10,0.009534685377702523,9.947779353591812e-06
2015-02-11,-0.01299196536796543,9.550342814357293e-06
2015-02-12,0.012962464037225674,9.152866782491387e-06
2015-02-13,0.014439494938539577,9.152866782491387e-06
2015-02-17,-0.004156045950290732,9.947779353591812e-06
2015-02-18,0.010291406800400527,9.152866782491387e-06
2015-02-19,-0.0034181723966975053,9.152866782491387e-06
2015-02-20,-0.004247194618831163,9.152866782491387e-06
2015-02-23,0.010675561188404847,8.755351250222532e-06
2015-02-24,-2.9033785063692363e-05,8.755351250222532e-06
2015-02-25,0.009644506350069637,8.357796209557122e-06
2015-02-26,0.004074738604868067,8.755351250222532e-06
2015-02-27,0.0015975746264769164,8.755351250222532e-06
2015-03-02,-0.00031430909868912504,8.755351250222532e-06
2015-03-03,-0.0010620575860226245,1.0345176408410595e-05
2015-03-04,0.006126533791127375,1.0345176408410595e-05
2015-03-05,-0.00030333932859605284,9.947779353591812e-06
2015-03-06,0.002758770722662396,1.0742533986363156e-05
2015-03-09,-0.000765723625519743,1.0742533986363156e-05
2015-03-10,-0.0014760281390748808,9.947779353591812e-06
2015-03-11,-0.0029563044380468417,9.947779353591812e-06
2015-03-12,0.006124919458303735,9.550342814357293e-06
2015-03-13,-0.004538542491286046,9.550342814357293e-06
2015-03-16,-0.004388503483633732,1.0345176408410595e-05
2015-03-17,0.0011960800966932528,1.0742533986363156e-05
2015-03-18,-0.014173946449004382,9.152866782491387e-06
2015-03-19,0.003944421251101282,1.0345176408410595e-05
2015-03-20,-0.016961330342146863,9.550342814357293e-06
2015-03-23,-0.0019176796017920106,9.550342814357293e-06
2015-03-24,0.012601439598289632,9.550342814357293e-06
2015-03-25,-0.006074711051894166,9.947779353591812e-06
2015-03-26,0.013533671143615367,1.1139852095443104e-05
2015-03-27,-0.003320173648677094,1.0742533986363156e-05
2015-03-30,0.012158421547431297,1.0742533986363156e-05
2015-03-31,-0.00487257918552042,1.0345176408410595e-05
2015-04-01,0.009012754607946816,1.0742533986363156e-05
2015-04-02,-0.0017457311460168379,9.947779353591812e-06
2015-04-06,-0.006139422015983054,8.357796209557122e-06
2015-04-07,-0.014558905570164926,8.755351250222532e-06
2015-04-08,-0.00237750024672001,8.755351250222532e-06
2015-04-09,0.0023685617450666108,8.755351250222532e-06
2015-04-10,0.012236644843459654,9.550342814357293e-06
2015-04-13,-0.008795774737306195,9.152866782491387e-06
2015-04-14,-0.0039653716707825915,9.152866782491387e-06
2015-04-15,0.0035296671869311513,9.152866782491387e-06
2015-04-16,0.0066088150025855885,8.755351250222532e-06
2015-04-17,-0.0020619040280097645,9.152866782491387e-06
2015-04-20,0.002682533022574818,9.550342814357293e-06
2015-04-21,0.004457481356853421,9.152866782491387e-06
2015-04-22,0.005202865058863804,9.152866782491387e-06
2015-04-23,-0.004581280615065353,9.550342814357293e-06
2015-04-24,0.001629758754569277,9.550342814357293e-06
2015-04-27,0.0051481957339103435,9.947779353591812e-06
2015-04-28,-0.0007784438136158034,9.550342814357293e-06
2015-04-29,-0.011311245237798029,9.947779353591812e-06
2015-04-30,0.009235131333180657,9.550342814357293e-06
2015-05-01,-0.0014806051919155072,9.947779353591812e-06
2015-05-04,0.005087480415959744,9.947779353591812e-06
2015-05-05,0.0023577160344365744,9.550342814357293e-06
2015-05-06,0.0022528002125912217,9.947779353591812e-06
2015-05-07,-0.00414131399984774,9.550342814357293e-06
2015-05-08,0.002769231747055345,9.152866782491387e-06
2015-05-11,-0.0037403355286635964,9.947779353591812e-06
2015-05-12,-0.010128906665100579,9.947779353591812e-06
2015-05-13,0.010923001515586117,9.550342814357293e-06
2015-05-14,0.0029407486092096757,9.152866782491387e-06
2015-05-15,-0.011837383538524149,9.152866782491387e-06
2015-05-18,-0.004455725007309619,8.755351250222532e-06
2015-05-19,0.003773813604708076,9.152866782491387e-06
2015-05-20,0.013457901340996115,9.152866782491387e-06
2015-05-21,-0.005089560749124811,8.755351250222532e-06
2015-05-22,-0.002949637714718234,9.152866782491387e-06
2015-05-26,-0.00030495491649862316,9.550342814357293e-06
2015-05-27,0.01077928701516595,1.0742533986363156e-05
2015-05-28,0.0007684135234999889,1.0345176408410595e-05
2015-05-29,0.003047948189811578,1.0345176408410595e-05
2015-06-01,-0.000643374521663298,1.0345176408410595e-05
2015-06-02,-0.0009305160315531413,1.0345176408410595e-05
2015-06-03,0.0023378741542858794,1.0345176408410595e-05
2015-06-04,-0.0022338859444231973,1.0742533986363156e-05
2015-06-05,-0.01028198046779627,1.1537130743421997e-05
2015-06-08,0.009162641122027138,1.0742533986363156e-05
2015-06-09,-0.0012667607066396691,1.0742533986363156e-05
2015-06-10,-0.0063184689448647635,1.1139852095443104e-05
2015-06-11,0.0020594608593389463,1.1139852095443104e-05
2015-06-12,-0.0010085958054164568,1.1139852095443104e-05
2015-06-15,0.0021188707775647853,1.1139852095443104e-05
2015-06-16,-0.00862316735662716,1.1139852095443104e-05
2015-06-17,-0.0014361830452781499,1.0742533986363156e-05
2015-06-18,-0.006474509871794765,1.0345176408410595e-05
2015-06-19,0.0004183529817378684,9.947779353591812e-06
2015-06-22,0.01204242491174079,1.0742533986363156e-05
2015-06-23,0.0017386262992553636,1.1934369938293443e-05
