Unnamed: 0,Period Ending,close,Current Ratio,Quick Ratio,Profit Margin,After Tax ROE,size,non linear size,book to price,EY-CETOP,EY-ETOP,Leverage-MLEV,Leverage-DTOA,Leverage-BLEV,momentum,Liq-STOM,Liq-STOQ,Liq-STOH,GICS Sector,beta,weighted alpha,std_res,half_year_return,three_m_rtn,VaR
760,2013-02-01,67.300003,134.0,41.0,6.0,26.0,25.33568858222145,35.943048631959755,0.1764853765702399,0.04502228625457862,0.04502228625448828,1.0940653059010532,0.5673011391295881,1.5329920684029927,0.07683774783926417,-2.492818182002761,-2.2906983801478025,-2.2100977037826026,Consumer Discretionary,0.8924124492156537,0.08299256216095825,0.009489792937995954,0.1921248057002314,0.09895981728262318,-0.017436636085913115
761,2014-01-31,76.849998,142.0,39.0,7.0,43.0,25.419014581880933,52.11627140409837,0.11437627045882873,0.04918672867109248,0.049186728671202086,1.1341879723135804,0.6909521694061899,2.1732151413512217,-0.026523631940020567,-2.3413625911760225,-2.340116546283109,-2.275815443339591,Consumer Discretionary,0.7885823577699316,-0.04213003983988788,0.008430460783369054,0.03773587606339302,0.03318157535931232,-0.015309221545764334
762,2015-01-30,104.419998,136.0,37.0,8.0,68.0,25.663317011237226,105.65086626971242,0.06669175303622397,0.04539360362753503,0.045393603627423416,1.1206847438283696,0.7666349571922095,2.8095902166916966,0.05844031523662855,-2.448987211824056,-2.4650839160816647,-2.334578999338002,Consumer Discretionary,1.0285678180558295,0.12298396148917992,0.010024312596814328,0.1207623179613546,0.04912856826524754,-0.020891838869619126
763,2016-01-29,125.760002,136.0,41.0,8.0,111.0,25.801907963525075,140.1005491206124,0.03933832556142206,0.04365457945841954,0.0436545794585192,1.1300979962518969,0.8515593785987919,4.307156428119063,0.0060307078513228965,-2.1238225907601103,-2.3431301114990397,-2.3687660819446568,Consumer Discretionary,0.8975144097242816,0.08168259301567096,0.009283466425121236,0.09923666349814464,0.06464692168182368,-0.02659823426881963
764,2012-12-31,52.959999,100.0,85.0,17.0,10.0,23.609951862289524,-66.85120015965913,1.1759930847535878,0.11291540998707347,0.1129154099870088,1.4083913396270875,0.5145139384452476,1.3472735893788526,0.041161462606595325,-1.6280875004399278,-1.5670030697227253,-1.5018650680040369,Energy,1.687592843402086,0.10538493821071787,0.013089944401466493,0.2692598615796802,0.360649534755467,-0.023094910325823587
765,2013-12-31,83.0,131.0,117.0,42.0,20.0,24.053174003586392,-81.94584568877328,0.8848868156707876,0.1808433734939759,0.1808433734938843,1.194016445830731,0.4218084857557188,1.2192556634304208,0.04553113785510789,-1.9439390334009425,-1.8118406232669582,-1.8381111849596417,Energy,1.1859918133553229,0.06810499823581047,0.009081662973553938,0.1978313012048192,0.023614445783132484,-0.015784974643552583
766,2014-12-31,73.82,130.0,119.0,22.0,10.0,23.83308093470332,-77.9613397488265,0.9905473508260676,0.10335952316445407,0.10335952316433232,1.2640418720801394,0.4218501835602885,1.266561585228552,-0.10265285975073796,-1.1890531672574574,-1.2608618675605314,-1.5263066443958648,Energy,1.4600037047995729,-0.09626621523660267,0.015682537097023285,-0.1098618396098618,-0.06258470604172307,-0.027103064232551818
767,2015-12-31,48.48,168.0,152.0,46.0,16.0,23.34383148453161,-44.38402230795145,1.4105581942346477,-0.22235973597359726,-0.2223597359734388,1.4761525236289867,0.4330750109665156,1.337563189930878,-0.13942205250263695,-1.2871431904120592,-1.4075911221941204,-1.4183358942904616,Energy,1.3495484499676609,-0.11085092400901084,0.020058242162103657,0.2407178630363037,0.04269799917491755,-0.03819097752151671
768,2012-12-31,22.440001,,,0.0,0.0,22.27874027099984,143.6983115774965,4.738319518653234,-0.0080213900168721,-0.008021390016876325,2.538207080341521,0.9248039448868224,1.324631353855749,0.08670494517270677,-0.8470148478069368,-0.4846786136117047,-0.44304499552046606,Financials,1.6407075248455705,0.02931458921203605,0.011655127588524923,0.3774509190084259,0.10606055677091984,-0.02645875431786246
769,2013-12-31,36.23,,,1.0,1.0,23.570134331253964,-64.12508871663522,1.0969767018786591,0.010212531051614685,0.010212531051607722,1.379720472737051,0.9319680154308992,1.3461518116900288,0.06394461282491913,-1.8401917764138909,-1.7551268926230912,-1.7623575250522352,Financials,1.369195340084629,-0.03703366813044478,0.009367328516175616,-0.006624289263041481,-0.00772837427546223,-0.017335471892119952
